1,Если,ЕСЛИ,CONJ,CONJ,_,0,ROOT,_,_,
2,этот,ЭТОТ,A,A,предик|1-компл|опред|оп-опред|аппоз|суб-копр|разъяснит|примыкат|сочин,3,опред,_,_,
3,объект,ОБЪЕКТ,S,S,предик|компл-аппоз|опред|композ|аппоз|об-аппоз|ном-аппоз|нум-аппоз|вводн|разъяснит|примыкат|сочин|сент-соч|кратн|вспом|пролепт|эллипт,8,предик,_,_,
4,,,_,MID,_,_,3,PUNCT,_,_
5,конечно,КОНЕЧНО,ADV,ADV,предик|квазиагент|1-компл|2-компл|3-компл|релят|атриб|аппоз|ном-аппоз|колич-огран|обст|огранич|вводн|разъяснит|примыкат|уточн|сочин|сент-соч,8,вводн,_,_,
6,,,_,MID,_,_,5,PUNCT,_,_
7,не,НЕ,PART,PART,предик|огранич|вводн|сочин|вспом,8,огранич,_,_,
8,музей,МУЗЕЙ,S,S,предик|подч-союзн|сравн-союзн|разъяснит|соч-союзн,1,подч-союзн,_,_,
9,.,_,MAD,MAD,_,8,PUNCT,_,_,
,,,,,,,,,,
1,В,В,PR,PR,предик|несобст-агент|1-компл|2-компл|3-компл|4-компл|присвяз|1-несобст-компл|2-несобст-компл|3-несобст-компл|неакт-компл|сравнит|колич-огран|распред|обст|длительн|суб-копр|огранич|вводн|разъяснит|примыкат|сочин|сент-соч|эллипт,7,обст,_,_,
2,России,РОССИЯ,S,S,предл,1,предл,_,_,
3,,,_,MID,_,_,2,PUNCT,_,_
4,например,НАПРИМЕР,ADV,ADV,предик|1-компл|2-компл|3-компл|4-компл|присвяз|колич-копред|колич-огран|обст|длительн|огранич|вводн|изъясн|разъяснит|примыкат|сочин|сент-соч,7,вводн,_,_,
5,,,_,MID,_,_,4,PUNCT,_,_
6,в настоящее время,В НАСТОЯЩЕЕ ВРЕМЯ,ADV,ADV,предик|1-компл|2-компл|3-компл|4-компл|присвяз|колич-копред|колич-огран|обст|длительн|огранич|вводн|изъясн|разъяснит|примыкат|сочин|сент-соч,7,обст,_,_,
7,нет,НЕТ,V,V,_,0,ROOT,_,_,
8,ни,НИ,PART,PART,огранич,9,огранич,_,_,
9,одной,ОДИН,NUM,NUM,опред|количест,11,количест,_,_,
10,бобслейной,БОБСЛЕЙНЫЙ,A,A,1-компл|опред|оп-опред|атриб|количест|примыкат|сочин,11,опред,_,_,
11,трассы,ТРАССА,S,S,предик|1-компл|2-компл|сент-соч,7,предик,_,_,
12,олимпийского,ОЛИМПИЙСКИЙ,A,A,квазиагент|1-компл|опред|оп-опред|атриб|композ|разъяснит|примыкат,13,опред,_,_,
13,уровня,УРОВЕНЬ,S,S,предик|квазиагент|1-компл|2-компл|компл-аппоз|атриб|аппоз|об-аппоз|разъяснит|примыкат|сочин|кратн,11,атриб,_,_,
14,,,_,MID,_,_,13,PUNCT,_,_
15,а,А,CONJ,CONJ,предик|1-компл|2-компл|присвяз|сравнит|обст|суб-копр|об-копр|огранич|вводн|разъяснит|примыкат|сочин|сент-соч|вспом|соотнос,7,сент-соч,_,_,
16,зарубежные,ЗАРУБЕЖНЫЙ,A,A,предик|опред|оп-опред|примыкат|сочин|сент-соч,17,опред,_,_,
17,коллеги,КОЛЛЕГА,S,S,предик|вводн|сент-соч,18,предик,_,_,
18,предоставляют,ПРЕДОСТАВЛЯТЬ,V,V,подч-союзн|сравн-союзн|вводн|разъяснит|соч-союзн,15,соч-союзн,_,_,
19,свои,СВОЙ,A,A,опред|оп-опред|аппоз|разъяснит,20,опред,_,_,
20,треки,ТРЕК,S,S,1-компл,18,1-компл,_,_,
21,для,ДЛЯ,PR,PR,квазиагент|1-компл|2-компл|3-компл|4-компл|компл-аппоз|атриб|ном-аппоз|распред|огранич|вводн|разъяснит|примыкат,20,атриб,_,_,
22,тренировок,ТРЕНИРОВКА,S,S,предик|предл,21,предл,_,_,
23,крайне,КРАЙНЕ,ADV,ADV,предик|1-компл|сравнит|сравн-союзн|релят|атриб|колич-копред|колич-огран|обст|огранич|вводн|разъяснит|примыкат|уточн|сочин|сент-соч|кратн|вспом|соотнос|эксплет|пролепт|эллипт,24,огранич,_,_,
24,неохотно,НЕОХОТНО,ADV,ADV,предик|1-компл|2-компл|3-компл|4-компл|присвяз|колич-огран|обст|длительн|огранич|вводн|изъясн|разъяснит|примыкат|сент-соч|вспом|квазиобст,18,обст,_,_,
25,-,_,MID,MID,_,24,PUNCT,_,_,
26,ведь,ВЕДЬ,CONJ,CONJ,1-компл|2-компл|3-компл|присвяз|сравнит|обст|суб-копр|об-копр|огранич|вводн|разъяснит|примыкат|сочин|сент-соч,18,обст,_,_,
27,наличие,НАЛИЧИЕ,S,S,предик|1-компл|присвяз|сент-предик|обст|вводн|разъяснит|сочин|сент-соч,30,предик,_,_,
28,хорошей,ХОРОШИЙ,A,A,1-компл|опред|оп-опред|атриб|количест|примыкат|сочин,29,опред,_,_,
29,трассы,ТРАССА,S,S,квазиагент|1-компл|2-компл|присвяз|атриб|аппоз|примыкат|пролепт,27,квазиагент,_,_,
30,дает,ДАВАТЬ,V,V,подч-союзн|сравн-союзн|обст|вводн|разъяснит|сочин|сент-соч|соч-союзн,26,подч-союзн,_,_,
31,конкурентное,КОНКУРЕНТНЫЙ,A,A,опред|оп-опред|огранич,32,опред,_,_,
32,преимущество,ПРЕИМУЩЕСТВО,S,S,1-компл|обст|длительн|огранич|сент-соч,30,1-компл,_,_,
33,.,_,MAD,MAD,_,32,PUNCT,_,_,
